id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,car_score,milage_per_year,price
125,30,1324,3,60000,3,736,4,45,43,1,0,831,15000.0,37000
126,27,1143,5,59203,3,662,17,48,25,0,0,755,9867.166666666666,17599
127,33,1037,7,106385,3,656,5,60,6,0,0,730,13298.125,19500
128,30,1149,4,24108,3,662,19,60,25,1,0,769,4821.6,29500
129,34,713,11,120800,3,437,4,45,6,0,0,495,10066.666666666666,11500
130,12,363,9,124250,3,244,4,87,64,0,0,402,12425.0,8550
131,2,72,13,122000,3,9,6,87,6,1,0,111,8714.285714285714,37900
132,34,1333,4,48900,3,737,15,48,25,1,0,828,9780.0,88950
133,25,317,16,123500,3,176,4,24,25,0,0,232,7264.705882352941,12500
134,33,817,17,191900,2,344,4,103,25,0,0,478,10661.111111111111,12850
135,26,299,22,121800,3,202,3,24,25,0,0,257,5295.652173913043,4300
136,34,1053,9,63300,3,668,15,48,52,0,0,786,6330.0,22800
137,40,1412,8,84200,3,791,4,48,6,1,0,852,9355.555555555555,21800
138,30,787,7,73500,3,418,17,45,25,0,0,508,9187.5,32250
139,19,1158,2,51000,3,626,17,87,25,1,0,758,17000.0,51000
140,19,807,5,69641,6,583,6,48,3,1,0,646,11606.833333333334,42850
141,19,1158,4,40000,3,626,4,45,25,1,0,703,8000.0,34999
142,32,1401,4,68750,3,927,4,48,25,1,0,1007,13750.0,47000
143,41,1052,10,52000,3,536,15,45,25,1,0,624,4727.272727272727,37500
144,30,1434,8,37000,3,814,15,45,25,0,0,902,4111.111111111111,315000
145,36,1198,6,60000,3,662,4,48,25,0,0,742,8571.42857142857,63000
146,32,1042,11,87500,3,581,4,48,3,0,0,639,7291.666666666667,26900
147,24,112,16,100730,3,80,4,45,25,0,0,157,5925.294117647059,8900
148,15,150,15,170900,3,346,4,45,25,0,0,423,10681.25,6500
149,13,472,11,165454,3,341,4,48,6,0,0,402,13787.833333333334,16800
150,30,661,9,126700,3,386,9,48,25,1,0,471,12670.0,15000
151,12,363,16,111300,3,244,4,48,25,1,0,324,6547.058823529412,15500
152,19,788,14,65000,3,538,4,45,43,1,0,633,4333.333333333333,55000
153,29,1069,6,47144,3,582,19,87,25,1,0,716,6734.857142857143,26000
154,36,1116,8,99915,3,590,4,48,25,1,0,670,11101.666666666666,18500
155,12,783,20,54000,3,386,3,60,25,1,0,477,2571.4285714285716,15363
156,34,367,17,93000,3,330,4,45,25,1,0,407,5166.666666666667,11999
157,18,527,22,42000,3,100,2,16,25,0,0,146,1826.0869565217392,15999
158,30,847,5,48000,3,736,19,45,52,0,0,855,8000.0,41995
159,19,914,12,269885,3,687,5,45,43,0,0,783,20760.384615384617,47500
160,30,787,11,87248,3,418,4,45,43,1,0,513,7270.666666666667,22999
161,6,107,18,106000,3,58,5,48,25,1,0,139,5578.9473684210525,15000
162,14,3,19,134602,3,97,4,3,6,1,0,113,6730.1,4500
163,14,186,16,134000,3,51,4,60,3,0,0,121,7882.35294117647,13500
164,19,1536,14,89400,3,687,4,60,3,1,0,757,5960.0,26900
165,24,1162,1,11100,3,765,17,48,25,0,0,858,5550.0,40200
166,26,567,7,52000,3,325,5,87,25,1,0,445,6500.0,17500
167,34,1421,4,45000,3,802,4,60,25,1,0,894,9000.0,54500
168,30,1324,2,15000,6,860,19,87,25,1,0,997,5000.0,59000
169,29,945,7,102370,3,492,4,48,25,1,0,572,12796.25,34500
170,22,1295,5,68750,3,632,4,45,3,1,0,687,11458.333333333334,32500
171,26,1109,8,72843,3,642,2,87,25,1,0,759,8093.666666666667,31599
172,34,1421,2,13250,3,802,19,45,25,1,0,894,4416.666666666667,144900
173,26,894,8,62378,3,642,2,45,25,1,0,717,6930.888888888889,97993
174,25,1266,2,12055,3,626,4,48,52,1,0,733,4018.3333333333335,42999
175,20,843,3,61874,3,633,14,56,25,1,0,731,15468.5,41927
176,29,1608,9,59950,3,893,17,48,25,0,0,986,5995.0,69000
177,34,407,19,149465,3,511,15,45,6,0,0,580,7473.25,18800
178,32,825,3,17300,3,515,4,60,25,1,0,607,4325.0,45000
179,22,1295,3,18185,3,633,21,134,37,1,0,828,4546.25,43250
180,31,722,9,107000,3,355,4,24,25,0,0,411,10700.0,11900
181,29,945,6,72865,3,826,17,87,25,1,0,958,10409.285714285714,54900
182,29,880,5,50000,3,596,19,48,6,0,0,672,8333.333333333334,26999
183,30,895,3,18000,3,543,19,45,25,1,0,635,4500.0,69000
184,39,1443,4,51105,3,794,20,165,25,1,0,1007,10221.0,38880
185,34,1632,3,13650,3,926,17,87,25,1,0,1058,3412.5,75000
186,33,586,8,215000,3,656,4,14,25,1,0,702,23888.88888888889,21500
187,14,321,14,114000,3,158,4,48,6,0,0,219,7600.0,10700
188,12,486,14,83765,3,386,9,45,6,0,0,449,5584.333333333333,22450
189,26,1518,2,24850,3,642,4,60,25,1,0,734,8283.333333333334,50000
190,19,1536,8,67400,2,453,4,48,3,1,0,510,7488.888888888889,29500
191,29,1280,3,24500,3,596,19,87,25,1,0,730,6125.0,38000
192,29,1373,7,67900,6,825,17,60,43,1,0,951,8487.5,37500
193,39,1313,5,26177,3,746,4,60,3,1,0,816,4362.833333333333,47500
194,33,1246,5,8660,3,803,19,48,25,1,0,898,1443.3333333333333,45000
195,16,272,10,122000,3,179,1,45,25,1,0,253,11090.90909090909,14999
196,33,192,22,58800,3,225,4,48,25,1,0,305,2556.521739130435,10000
197,32,326,10,63250,3,310,5,48,25,1,0,391,5750.0,18650
198,36,816,12,119000,3,590,5,45,25,0,0,668,9153.846153846154,12500
199,41,1668,8,67522,3,859,4,60,25,0,0,951,7502.444444444444,51500
200,33,1437,7,61000,3,803,19,87,25,1,0,937,7625.0,53000
201,24,984,4,10101,4,586,5,48,25,1,0,668,2020.2,27900
202,11,1552,3,27598,3,831,21,60,25,1,0,940,6899.5,49273
203,30,1324,3,41000,6,860,19,48,25,0,0,958,10250.0,57999
204,33,1437,7,11250,3,803,9,60,25,1,0,900,1406.25,30000
205,34,379,20,35400,3,213,15,48,6,1,0,285,1685.7142857142858,26900
206,30,925,9,44000,3,848,17,48,25,1,0,941,4400.0,44900
207,25,565,15,110000,3,173,4,16,6,1,0,202,6875.0,15000
208,34,1711,2,17994,6,960,17,87,25,1,0,1095,5998.0,104900
209,41,1668,4,3158,3,1007,19,24,25,1,0,1078,631.6,128900
210,26,440,16,144770,3,224,0,24,25,0,0,276,8515.882352941177,6500
211,26,1464,2,8794,3,642,4,45,25,1,0,719,2931.3333333333335,63000
212,30,436,9,38000,3,386,17,48,25,1,0,479,3800.0,34500
213,34,782,10,47400,3,801,15,45,25,0,0,889,4309.090909090909,23900
214,32,1631,6,66281,5,865,31,60,25,1,0,986,9468.714285714286,64900
215,30,895,12,126000,3,395,4,48,54,0,0,504,9692.307692307691,12700
216,21,451,23,50000,3,362,9,87,6,1,0,467,2083.3333333333335,26800
217,30,1479,4,37000,3,736,19,87,43,0,0,888,7400.0,50000
218,23,916,6,60000,3,603,19,87,25,0,0,737,8571.42857142857,40750
219,34,638,17,90400,3,315,2,48,6,1,0,374,5022.222222222223,10199
220,5,165,13,136500,3,268,5,48,25,1,0,349,9750.0,5999
221,25,504,18,132000,3,279,5,16,3,0,0,306,6947.368421052632,17000
222,29,325,10,87500,3,257,4,16,25,1,0,305,7954.545454545455,17900
223,29,513,6,118500,3,473,4,16,25,1,0,521,16928.571428571428,5800
224,20,843,6,80124,3,633,14,45,25,1,0,720,11446.285714285714,21373
225,32,1778,2,17900,3,1023,19,87,43,1,0,1175,5966.666666666667,85000
226,33,1702,2,9000,3,962,17,48,25,1,0,1055,3000.0,78900
227,12,294,17,169802,3,57,4,24,10,1,0,98,9433.444444444445,5200
228,36,1506,7,58000,3,510,4,48,54,1,0,619,7250.0,150000
229,34,638,11,90400,3,315,4,45,6,1,0,373,7533.333333333333,17000
230,30,1324,5,58600,3,736,19,60,6,1,0,824,9766.666666666666,36500
231,34,379,21,121000,3,213,2,48,54,0,0,320,5500.0,40999
232,30,833,7,34300,3,672,19,45,25,1,0,764,4287.5,29998
233,32,979,10,63460,3,600,9,48,6,1,0,666,5769.090909090909,25215
234,30,1478,9,62500,3,848,17,45,25,1,0,938,6250.0,28000
235,22,1128,3,51351,3,682,21,104,37,1,0,847,12837.75,33295
236,41,1349,8,50000,3,661,17,87,10,0,0,778,5555.555555555556,32000
237,29,955,8,71280,3,590,19,16,25,1,0,653,7920.0,17999
238,32,428,29,119000,1,319,4,45,3,1,0,372,3966.6666666666665,97993
239,19,431,16,169000,3,237,5,45,6,1,0,296,9941.176470588236,6500
240,34,379,12,151400,3,213,4,16,25,1,0,261,11646.153846153846,155700
241,33,893,13,139000,3,169,9,45,25,1,0,251,9928.57142857143,5199
242,28,1322,6,71962,3,682,20,118,61,1,0,884,10280.285714285714,26600
243,24,1162,3,41000,3,211,4,45,25,1,0,288,10250.0,42500
244,34,503,8,67800,3,249,15,45,25,1,0,337,7533.333333333333,19500
245,29,1513,3,30000,6,825,17,16,25,1,0,889,7500.0,48000
246,36,1300,5,29500,3,662,4,24,6,1,0,699,4916.666666666667,34900
247,29,1205,4,33000,6,825,4,87,43,1,0,965,6600.0,59900
248,34,1424,2,2284,3,645,21,45,94,1,0,808,761.3333333333334,44999
249,46,1774,4,30200,3,937,17,149,25,1,0,1131,6040.0,175000
250,34,692,11,64549,3,312,15,87,10,0,0,427,5379.083333333333,22500
251,30,887,10,89000,3,418,4,48,6,0,0,479,8090.909090909091,12800
252,32,1413,6,61773,3,858,31,48,25,1,0,965,8824.714285714286,44700
253,32,348,19,207100,3,277,4,48,3,1,0,335,10355.0,4199
254,34,1053,13,59700,3,511,15,60,6,1,0,595,4264.285714285715,29000
255,15,288,14,116000,3,359,17,16,6,0,0,401,7733.333333333333,11500
256,39,1326,3,44000,3,746,19,48,6,0,0,822,11000.0,46500
257,14,580,3,7751,3,400,17,45,25,1,0,490,1937.75,46000
258,32,979,6,53782,3,756,17,48,25,1,0,849,7683.142857142857,48000
259,33,665,14,56000,3,455,17,87,25,0,0,587,3733.3333333333335,44800
260,41,1352,8,91140,3,738,15,45,25,1,0,826,10126.666666666666,17900
261,19,785,10,24915,3,705,14,24,25,0,0,771,2265.0,13715
262,19,188,11,35000,3,463,17,16,3,1,0,502,2916.6666666666665,17500
263,33,1037,7,26000,3,656,5,48,6,1,0,718,3250.0,32000
264,26,1396,4,33060,3,642,19,45,25,1,0,734,6612.0,47500
265,30,787,11,71280,3,418,4,48,25,0,0,498,5940.0,15900
266,11,430,12,27989,3,273,6,48,25,1,0,355,2153.0,29500
267,36,1483,6,18000,3,948,17,60,25,1,0,1053,2571.4285714285716,48000
268,11,391,7,145000,3,365,4,14,6,0,0,392,18125.0,7850
269,26,24,15,141485,3,51,4,45,25,0,0,128,8842.8125,6500
270,32,1272,2,12500,3,769,4,87,25,1,0,888,4166.666666666667,85495
271,34,1424,5,17000,3,514,17,45,25,1,0,604,2833.3333333333335,72900
272,36,1755,4,2800,3,967,4,48,25,1,0,1047,560.0,69900
273,30,436,13,110000,3,178,5,14,6,0,0,206,7857.142857142857,9400
274,21,744,9,110000,3,412,17,45,25,0,0,502,11000.0,11000
275,26,28,8,185000,3,325,4,45,3,0,0,380,20555.555555555555,7100
276,28,1394,4,48613,3,743,19,45,25,0,0,835,9722.6,55999
277,25,546,16,102000,3,289,17,45,6,1,0,360,6000.0,38500
278,29,513,8,87500,3,473,5,87,25,1,0,593,9722.222222222223,27995
279,38,1079,6,53500,3,606,19,87,52,1,0,767,7642.857142857143,35999
280,1,86,15,95426,3,39,4,45,3,1,0,94,5964.125,6500
281,27,1531,4,16002,3,883,19,45,52,1,0,1002,3200.4,74900
282,30,627,12,104000,3,418,19,48,54,1,0,542,8000.0,20900
283,5,165,12,128000,3,268,5,16,25,1,0,317,9846.153846153846,7500
284,30,554,9,125500,3,386,5,48,6,0,0,448,12550.0,12000
285,33,1446,5,44800,3,656,4,87,25,1,0,775,7466.666666666667,51500
286,41,1013,10,97500,3,519,4,45,25,1,0,596,8863.636363636364,16999
287,33,339,15,53100,3,133,4,45,25,1,0,210,3318.75,14900
288,34,1053,11,115000,3,554,17,48,6,0,0,628,9583.333333333334,29000
289,33,1716,3,4000,3,962,19,45,52,0,0,1081,1000.0,73900
290,34,503,7,83112,3,437,30,24,6,1,0,500,10389.0,17999
291,17,820,11,102750,3,582,9,60,25,1,0,679,8562.5,17999
292,32,1577,6,81648,3,799,29,87,25,1,0,943,11664.0,28991
293,29,383,12,69700,3,257,19,87,25,1,0,391,5361.538461538462,19500
294,33,247,18,57800,3,172,5,45,25,1,0,250,3042.1052631578946,17900
295,13,669,14,45303,3,229,9,45,25,1,0,311,3020.2,19500
296,33,1670,3,12500,3,962,17,25,25,1,0,1032,3125.0,54000
297,25,1061,6,67645,3,619,5,87,43,1,0,757,9663.57142857143,59500
298,34,1040,10,76850,3,668,15,60,6,0,0,752,6986.363636363636,42800
299,17,1276,3,28105,3,682,14,164,70,1,0,933,7026.25,349950
300,26,1387,1,4000,3,642,19,60,25,1,0,749,2000.0,76500
301,26,1285,3,23588,3,708,20,144,71,1,0,946,5897.0,26772
302,36,455,16,152000,3,126,5,45,3,1,0,182,8941.176470588236,6500
303,32,799,7,161000,2,369,5,87,3,1,0,466,20125.0,17500
304,31,920,12,79615,2,610,4,16,10,1,0,642,6124.2307692307695,28000
305,2,23,23,16000,3,52,0,24,10,1,0,89,666.6666666666666,6500
306,41,1013,11,60000,3,519,17,87,52,1,0,678,5000.0,19500
307,16,380,13,133300,3,205,6,16,6,1,0,236,9521.42857142857,3000
308,25,658,9,103748,3,522,19,48,6,1,0,598,10374.8,17000
309,28,1587,3,8044,3,743,5,45,25,1,0,821,2011.0,41927
310,33,665,17,87500,3,227,4,60,25,1,0,319,4861.111111111111,20000
311,29,1311,5,34068,6,825,17,48,6,1,0,902,5678.0,46900
312,36,1325,6,58000,3,718,17,45,25,1,0,808,8285.714285714286,25000
313,31,803,8,162731,3,656,4,16,25,1,0,704,18081.222222222223,24995
314,29,1549,5,21800,3,930,17,48,25,0,0,1023,3633.3333333333335,68900
315,28,1146,7,134000,3,743,19,87,43,1,0,895,16750.0,32999
316,32,1222,5,55000,5,865,5,60,6,0,0,941,9166.666666666666,40500
317,33,456,12,153000,2,328,5,45,25,1,0,405,11769.23076923077,18000
318,30,1620,2,10376,3,890,17,45,25,1,0,980,3458.6666666666665,33600
319,30,195,21,74000,3,125,1,16,25,1,0,170,3363.6363636363635,4800
320,41,1668,4,23700,3,1007,19,103,25,1,0,1157,4740.0,87500
321,36,1685,6,35580,3,952,20,48,37,1,0,1060,5082.857142857143,49500
322,15,1436,2,7900,3,824,31,60,25,1,0,943,2633.3333333333335,89000
323,30,787,6,69000,3,418,19,45,25,1,0,510,9857.142857142857,30999
324,25,1266,3,41000,3,626,4,87,52,1,0,772,10250.0,56000
325,29,880,3,29000,3,596,19,87,25,1,0,730,7250.0,42900
326,32,1027,10,24000,3,438,5,87,25,1,0,558,2181.818181818182,21500
327,41,1677,10,46000,3,880,17,48,25,1,0,973,4181.818181818182,50000
328,32,204,26,148949,3,108,4,103,6,1,0,224,5516.62962962963,3900
329,29,470,9,96273,3,237,4,87,25,1,0,356,9627.3,13500
330,32,117,17,95000,3,73,4,48,25,1,0,153,5277.777777777777,12000
331,33,1246,7,13465,3,803,19,60,6,1,0,891,1683.125,36500
332,32,1740,1,18000,3,916,31,87,25,1,0,1062,9000.0,99000
333,32,1338,8,92671,5,744,5,45,6,1,0,805,10296.777777777777,32300
334,33,166,4,20800,3,117,5,16,25,1,0,166,4160.0,19000
335,25,684,13,97724,6,540,4,48,6,1,0,604,6980.285714285715,12995
336,34,904,10,156350,3,561,4,87,6,0,0,661,14213.636363636364,8950
337,34,1019,5,19500,3,719,30,87,25,0,0,864,3250.0,81330
338,30,1738,3,12088,3,977,19,87,25,1,0,1111,3022.0,37500
339,39,902,5,61802,3,746,19,60,25,1,0,853,10300.333333333334,45900
340,30,1605,2,9000,3,977,19,87,85,1,0,1171,3000.0,50000
341,11,221,16,227010,3,132,2,87,3,0,0,227,13353.529411764706,4500
342,34,1105,6,46000,3,568,15,60,25,1,0,671,6571.428571428572,54000
343,36,884,5,55900,3,590,17,45,25,1,0,680,9316.666666666666,42000
344,33,354,17,98527,3,227,4,45,25,1,0,304,5473.722222222223,5990
345,30,1434,7,26600,3,814,17,48,25,1,0,907,3325.0,79950
346,25,700,14,119000,3,412,5,45,6,1,0,471,7933.333333333333,13000
347,38,882,21,125800,3,625,17,45,52,1,0,742,5718.181818181818,22500
348,5,122,23,63250,3,7,0,24,3,1,0,37,2635.4166666666665,14995
349,31,613,13,169000,3,355,4,24,25,0,0,411,12071.42857142857,12500
350,32,979,14,125500,3,441,9,45,25,0,0,523,8366.666666666666,200000
351,31,1099,8,93000,3,656,4,48,25,0,0,736,10333.333333333334,30000
352,26,1003,3,17000,3,642,19,45,25,1,0,734,4250.0,56000
353,14,580,10,95000,3,400,19,48,25,1,0,495,8636.363636363636,17900
354,32,1272,4,44460,3,696,31,45,25,1,0,800,8892.0,30990
355,30,833,5,27300,3,672,19,48,52,1,0,794,4550.0,30000
356,32,1172,5,51351,3,819,14,120,25,0,0,981,8558.5,34084
357,36,1248,5,59271,3,718,19,48,25,1,0,813,9878.5,35750
358,12,730,4,19500,3,444,4,45,25,1,0,521,3900.0,28500
359,34,1173,2,15000,6,960,30,45,25,1,0,1066,5000.0,35899
360,20,460,9,72000,3,360,17,48,25,0,0,453,7200.0,18900
361,17,314,12,136000,3,237,4,48,25,0,0,317,10461.538461538461,9999
362,33,561,7,59500,3,427,17,87,25,1,0,559,7437.5,24995
363,28,410,8,66000,3,295,4,45,25,1,0,372,7333.333333333333,14900
364,19,1158,4,61454,3,626,19,60,3,1,0,711,12290.8,31000
365,30,124,24,239000,3,37,2,45,10,1,0,97,9560.0,6000
366,19,1210,8,71000,3,538,4,45,25,1,0,615,7888.888888888889,15500
367,36,1198,8,65680,3,662,17,16,25,0,0,723,7297.777777777777,34900
368,34,1019,6,51133,3,645,21,48,60,1,0,777,7304.714285714285,39848
369,30,1133,6,24650,3,672,4,48,25,1,0,752,3521.4285714285716,50000
370,30,1620,5,41000,3,934,19,45,43,1,0,1044,6833.333333333333,50000
371,16,765,11,92861,3,237,4,24,3,0,0,271,7738.416666666667,9500
